Id,Category,bert,xlnet,roberta
576,0,27,27,27
577,0,20,19,20
578,0,5,5,5
579,0,19,19,19
580,0,4,4,4
581,0,1,1,1
582,0,19,19,19
583,0,19,19,19
584,0,13,13,13
585,0,20,1,20
586,0,19,19,19
587,0,0,0,0
588,0,22,22,3
589,0,19,19,19
590,0,19,19,19
591,0,19,19,19
592,0,19,19,19
593,0,8,8,8
594,0,13,13,13
595,0,27,27,4
596,0,13,13,19
597,0,18,18,18
598,0,19,6,19
599,0,19,19,19
600,0,19,19,19
601,0,19,19,19
602,0,22,22,22
603,0,3,3,3
604,0,4,4,4
605,0,19,19,19
606,0,26,9,26
607,0,8,8,8
608,0,26,6,6
609,0,19,19,19
610,0,5,5,5
611,0,6,6,6
612,0,19,19,19
613,0,20,20,20
614,0,19,19,19
615,0,19,19,19
616,0,26,26,26
617,0,3,3,3
618,0,13,13,13
619,0,3,3,3
620,0,19,6,19
621,0,6,6,6
622,0,20,20,20
623,0,19,19,19
624,0,24,24,24
625,0,19,19,19
626,0,1,1,1
627,0,1,1,1
628,0,3,3,3
629,0,19,19,19
630,0,14,14,14
631,0,20,20,20
632,0,25,25,25
633,0,26,26,26
634,0,19,19,19
635,0,19,19,19
636,0,20,20,20
637,0,19,19,19
638,0,22,22,22
639,0,22,22,22
640,0,19,19,19
641,0,20,20,20
642,0,19,19,19
643,0,3,3,3
644,0,19,19,19
645,0,3,3,3
646,0,6,6,6
647,0,5,5,5
648,0,26,26,26
649,0,19,19,19
650,0,19,19,19
651,0,8,8,8
652,0,19,19,19
653,0,19,19,27
654,0,19,19,19
655,0,19,19,19
656,0,24,13,13
657,0,6,6,6
658,0,19,19,19
659,0,26,26,26
660,0,18,18,18
661,0,19,19,14
662,0,18,18,18
663,0,6,6,6
664,0,6,6,6
665,0,26,26,26
666,0,19,19,19
667,0,20,20,20
668,0,26,3,3
669,0,19,19,19
670,0,20,20,20
671,0,19,19,19
672,0,24,24,26
673,0,6,6,6
674,0,20,6,6
675,0,26,26,26
676,0,22,22,22
677,0,6,6,6
678,0,19,19,19
679,0,18,18,18
680,0,9,9,9
681,0,24,24,24
682,0,22,22,22
683,0,24,13,24
684,0,26,26,26
685,0,24,24,24
686,0,21,21,21
687,0,19,19,19
688,0,19,19,19
689,0,22,22,22
690,0,26,26,26
691,0,19,19,19
692,0,19,19,19
693,0,20,20,20
694,0,19,19,19
695,0,24,24,24
696,0,17,11,11
697,0,0,0,0
698,0,19,19,19
699,0,20,6,6
700,0,19,19,19
701,0,19,19,19
702,0,1,1,1
703,0,14,14,14
704,0,26,26,26
705,0,6,6,6
706,0,19,19,19
707,0,3,3,3
708,0,20,20,20
709,0,19,19,19
710,0,13,13,24
711,0,19,19,19
712,0,19,19,19
713,0,19,26,19
714,0,5,5,5
715,0,24,24,24
716,0,15,15,15
717,0,19,13,19
718,0,8,11,8
719,0,19,11,19
720,0,20,20,20
721,0,19,19,19
722,0,19,19,19
723,0,22,22,22
724,0,19,19,19
725,0,24,13,24
726,0,24,24,24
727,0,19,19,19
728,0,19,19,19
729,0,19,19,19
730,0,19,19,19
731,0,25,25,25
732,0,20,20,20
733,0,19,19,19
734,0,1,1,1
735,0,26,26,26
736,0,19,19,19
737,0,19,19,19
738,0,20,20,20
739,0,0,0,0
740,0,19,19,19
741,0,22,22,22
742,0,9,9,9
743,0,18,20,20
744,0,26,26,26
745,0,19,19,19
746,0,19,19,19
747,0,19,19,19
748,0,6,6,6
749,0,19,19,19
750,0,13,6,3
751,0,19,19,19
752,0,19,19,19
753,0,18,18,18
754,0,19,22,19
755,0,3,3,3
756,0,19,19,19
757,0,19,19,19
758,0,14,14,14
759,0,19,19,19
760,0,6,6,6
761,0,19,19,19
762,0,19,19,19
763,0,19,19,19
764,0,19,19,19
765,0,19,19,19
766,0,19,19,19
767,0,26,26,26
768,0,6,6,6
769,0,26,26,26
770,0,24,24,24
771,0,19,19,19
772,0,13,13,13
773,0,26,22,22
774,0,20,20,20
775,0,6,6,6
776,0,19,19,19
777,0,7,24,7
778,0,19,19,19
779,0,19,19,19
780,0,6,6,6
781,0,19,19,19
782,0,19,19,19
783,0,19,19,19
784,0,19,19,19
785,0,8,8,8
786,0,6,22,22
787,0,19,19,19
788,0,6,15,6
789,0,19,19,19
790,0,26,26,26
791,0,6,6,6
792,0,19,19,19
793,0,26,12,12
794,0,3,3,3
795,0,26,26,26
796,0,26,19,26
797,0,19,19,19
798,0,14,14,11
799,0,19,19,19
800,0,20,20,20
801,0,24,24,24
802,0,19,19,19
803,0,19,19,19
804,0,6,6,6
805,0,19,19,19
806,0,6,20,6
807,0,8,8,8
808,0,19,19,19
809,0,19,19,19
810,0,3,3,3
811,0,19,19,19
812,0,26,26,26
813,0,19,19,19
814,0,19,19,19
815,0,14,3,0
816,0,19,19,19
817,0,13,24,19
818,0,26,26,26
819,0,19,19,19
820,0,20,20,20
821,0,19,19,19
822,0,6,6,6
823,0,19,19,19
824,0,22,22,22
825,0,6,6,26
826,0,26,26,26
827,0,6,6,3
828,0,19,19,19
829,0,19,19,19
830,0,14,14,14
831,0,19,19,19
832,0,20,20,20
833,0,3,3,3
834,0,19,8,8
835,0,19,19,19
836,0,20,20,20
837,0,19,19,19
838,0,19,19,19
839,0,19,19,19
840,0,3,3,3
841,0,19,19,19
842,0,20,20,20
843,0,20,20,20
844,0,5,5,5
845,0,4,4,4
846,0,26,26,26
847,0,19,19,19
848,0,11,11,11
849,0,20,20,20
850,0,19,19,19
851,0,19,19,19
852,0,19,19,19
853,0,20,20,20
854,0,19,19,19
855,0,3,3,3
856,0,26,23,26
857,0,13,13,13
858,0,5,5,5
859,0,26,26,26
860,0,6,6,6
861,0,19,19,19
862,0,6,6,6
863,0,19,19,6
864,0,6,6,6
865,0,22,22,22
866,0,22,22,22
867,0,22,22,22
868,0,19,19,19
869,0,19,19,19
870,0,19,19,19
871,0,20,20,20
872,0,8,8,8
873,0,19,22,22
874,0,6,6,6
875,0,19,19,19
876,0,19,19,19
877,0,19,19,19
878,0,19,19,19
879,0,19,19,19
880,0,11,11,11
881,0,19,19,19
882,0,6,6,6
883,0,6,6,6
884,0,22,22,22
885,0,20,20,20
886,0,14,11,11
887,0,6,6,6
888,0,26,26,26
889,0,6,6,6
890,0,19,19,19
891,0,6,6,6
892,0,19,19,19
893,0,19,19,19
894,0,20,20,20
895,0,6,6,6
896,0,19,19,19
897,0,3,3,3
898,0,9,9,9
899,0,6,6,20
900,0,19,19,19
901,0,11,11,11
902,0,3,3,3
903,0,13,13,13
904,0,11,19,19
905,0,11,11,11
906,0,19,19,19
907,0,6,1,1
908,0,26,26,26
909,0,19,19,19
910,0,22,22,22
911,0,19,19,19
912,0,4,4,17
913,0,6,6,6
914,0,19,19,19
915,0,9,26,26
916,0,15,15,15
917,0,26,26,26
918,0,19,19,19
919,0,19,19,19
920,0,11,11,11
921,0,24,24,24
922,0,20,20,20
923,0,26,26,26
924,0,10,10,10
925,0,19,19,19
926,0,19,19,19
927,0,19,19,19
928,0,13,13,13
929,0,3,3,3
930,0,5,5,5
931,0,19,19,19
932,0,27,27,27
933,0,19,19,19
934,0,26,26,26
935,0,3,3,3
936,0,20,19,19
937,0,22,22,22
938,0,19,19,19
939,0,19,19,19
940,0,19,19,19
941,0,19,19,19
942,0,6,6,6
943,0,6,6,6
944,0,19,19,19
945,0,6,21,1
946,0,20,20,20
947,0,19,19,19
948,0,14,18,27
949,0,20,20,20
950,0,5,20,5
951,0,9,3,3
952,0,26,26,26
953,0,5,5,6
954,0,8,8,8
955,0,22,22,22
956,0,26,26,26
957,0,15,15,15
958,0,19,19,19
959,0,6,6,6
960,0,20,20,20
961,0,8,11,8
962,0,19,19,19
963,0,19,19,19
964,0,20,20,20
965,0,22,22,22
966,0,24,24,24
967,0,19,19,19
968,0,19,19,19
969,0,0,0,6
970,0,22,22,22
971,0,8,8,8
972,0,4,4,4
973,0,19,19,19
974,0,19,19,14
975,0,11,19,19
976,0,19,19,19
977,0,19,19,19
978,0,24,24,24
979,0,26,26,26
980,0,20,20,20
981,0,19,19,19
982,0,1,1,1
983,0,19,19,19
984,0,6,6,6
985,0,19,19,19
986,0,26,26,26
987,0,15,15,15
988,0,20,20,20
989,0,19,19,19
990,0,19,19,19
991,0,14,14,14
992,0,0,0,0
993,0,8,8,8
994,0,20,20,20
995,0,19,19,19
996,0,8,8,8
997,0,19,19,19
998,0,8,8,8
999,0,19,19,19
1000,0,19,19,19
1001,0,24,24,24
1002,0,5,5,5
1003,0,12,12,12
1004,0,0,0,0
1005,0,26,26,26
1006,0,26,26,26
1007,0,19,19,19
1008,0,18,18,18
1009,0,19,3,3
1010,0,26,26,26
1011,0,20,20,20
1012,0,19,15,19
1013,0,24,24,24
1014,0,18,18,18
1015,0,6,6,6
1016,0,26,26,26
1017,0,19,19,19
1018,0,19,19,19
1019,0,6,6,6
1020,0,6,6,6
1021,0,19,19,19
1022,0,19,19,19
1023,0,6,6,6
1024,0,11,11,8
1025,0,19,19,19
1026,0,19,19,19
1027,0,9,9,9
1028,0,19,19,19
1029,0,19,19,19
1030,0,13,13,13
1031,0,20,20,20
1032,0,19,19,19
1033,0,19,19,19
1034,0,20,20,20
1035,0,26,26,26
1036,0,19,19,19
1037,0,11,19,11
1038,0,25,25,25
1039,0,24,13,13
1040,0,19,19,19
1041,0,19,19,19
1042,0,24,24,24
1043,0,19,19,19
1044,0,5,5,5
1045,0,26,26,26
1046,0,6,6,6
1047,0,6,6,6
1048,0,20,20,20
1049,0,25,25,25
1050,0,20,20,20
1051,0,19,19,19
1052,0,6,20,6
1053,0,19,19,19
1054,0,19,19,19
1055,0,22,22,22
1056,0,19,19,19
1057,0,26,26,26
1058,0,1,1,1
1059,0,10,10,10
1060,0,19,19,19
1061,0,19,19,19
1062,0,19,19,19
1063,0,13,22,3
1064,0,19,26,6
1065,0,19,19,19
1066,0,1,1,1
1067,0,19,19,19
1068,0,26,26,26
1069,0,19,19,19
1070,0,19,19,19
1071,0,9,26,26
1072,0,27,27,27
1073,0,19,19,19
1074,0,20,20,20
1075,0,20,20,20
1076,0,19,19,19
1077,0,26,26,26
1078,0,14,14,14
1079,0,6,6,6
1080,0,26,26,26
1081,0,6,6,6
1082,0,6,6,6
1083,0,19,19,19
1084,0,26,26,26
1085,0,19,19,19
1086,0,25,21,25
1087,0,27,27,27
1088,0,20,20,20
1089,0,19,19,19
1090,0,24,24,24
1091,0,20,20,20
1092,0,20,20,20
1093,0,19,19,19
1094,0,20,20,20
1095,0,19,19,19
1096,0,19,19,19
1097,0,3,3,3
1098,0,19,27,3
1099,0,24,24,24
1100,0,19,19,19
1101,0,13,13,13
1102,0,20,20,20
1103,0,6,6,6
1104,0,19,19,19
1105,0,3,3,3
1106,0,6,6,6
1107,0,19,19,19
1108,0,19,19,19
1109,0,6,6,6
1110,0,19,19,19
1111,0,18,18,18
1112,0,19,14,19
1113,0,1,1,1
1114,0,19,19,19
1115,0,5,5,5
1116,0,19,19,19
1117,0,11,11,11
1118,0,19,19,19
1119,0,11,11,11
1120,0,3,3,3
1121,0,6,19,6
1122,0,19,19,19
1123,0,19,19,19
1124,0,19,19,19
1125,0,26,26,26
1126,0,19,19,19
1127,0,6,6,6
1128,0,24,24,24
1129,0,20,20,20
1130,0,19,5,19
1131,0,19,19,19
1132,0,19,19,19
1133,0,12,12,12
1134,0,26,19,19
1135,0,14,14,14
1136,0,7,7,7
1137,0,19,19,19
1138,0,19,19,19
1139,0,19,19,19
1140,0,6,6,6
1141,0,19,19,19
1142,0,26,26,26
1143,0,24,24,24
1144,0,22,3,22
1145,0,19,19,19
1146,0,3,3,3
1147,0,1,1,1
1148,0,19,19,19
1149,0,19,19,19
1150,0,19,19,19
1151,0,18,18,18
1152,0,19,19,19
1153,0,19,19,19
1154,0,24,24,24
1155,0,13,13,19
1156,0,19,19,19
1157,0,5,5,5
1158,0,6,6,6
1159,0,3,3,19
1160,0,26,26,26
1161,0,6,6,6
1162,0,20,20,20
1163,0,19,19,19
1164,0,19,19,19
1165,0,11,11,11
1166,0,13,13,13
1167,0,19,19,19
1168,0,19,19,19
1169,0,19,7,24
1170,0,19,19,19
1171,0,19,19,19
1172,0,19,19,19
1173,0,19,19,19
1174,0,6,6,6
1175,0,9,9,9
1176,0,19,19,19
1177,0,1,1,1
1178,0,19,19,19
1179,0,25,25,25
1180,0,19,19,19
1181,0,6,19,19
1182,0,26,26,26
1183,0,19,19,19
1184,0,13,13,13
1185,0,24,24,24
1186,0,6,6,6
1187,0,19,19,19
1188,0,15,15,15
1189,0,20,20,20
1190,0,6,6,6
1191,0,6,6,6
1192,0,15,15,15
1193,0,11,11,11
1194,0,18,18,18
1195,0,1,1,1
1196,0,20,20,20
1197,0,19,19,19
1198,0,19,19,19
1199,0,19,19,19
1200,0,4,2,2
1201,0,20,20,20
1202,0,20,20,20
1203,0,19,19,19
1204,0,19,19,19
1205,0,25,25,25
1206,0,20,20,20
1207,0,6,6,6
1208,0,22,22,22
1209,0,19,19,19
1210,0,19,19,19
1211,0,19,19,19
1212,0,3,19,19
1213,0,19,19,19
1214,0,1,1,1
1215,0,19,19,19
1216,0,19,3,3
1217,0,15,15,15
1218,0,19,19,19
1219,0,24,13,24
1220,0,19,19,19
1221,0,6,6,6
1222,0,13,13,13
1223,0,0,0,3
1224,0,26,26,26
1225,0,26,26,26
1226,0,8,8,8
1227,0,20,20,20
1228,0,19,19,19
1229,0,21,21,21
1230,0,7,20,20
1231,0,27,27,27
1232,0,22,22,22
1233,0,3,3,22
1234,0,3,3,3
1235,0,8,8,8
1236,0,15,15,15
1237,0,9,9,9
1238,0,19,19,19
1239,0,22,22,19
1240,0,14,22,3
1241,0,19,19,19
1242,0,24,24,24
1243,0,13,13,13
1244,0,19,19,19
1245,0,22,13,13
1246,0,26,26,26
1247,0,22,22,22
1248,0,26,3,26
1249,0,6,6,6
1250,0,19,19,19
1251,0,24,24,24
1252,0,22,22,22
1253,0,12,12,12
1254,0,19,13,13
1255,0,19,19,19
1256,0,6,6,6
1257,0,19,19,19
1258,0,19,19,19
1259,0,1,1,1
1260,0,19,24,24
1261,0,14,14,14
1262,0,2,2,2
1263,0,5,5,5
1264,0,19,19,19
1265,0,8,8,8
1266,0,19,19,19
1267,0,19,19,19
1268,0,19,19,19
1269,0,19,19,19
1270,0,13,13,13
1271,0,11,11,11
1272,0,6,6,6
1273,0,19,19,19
1274,0,19,19,19
1275,0,11,11,11
1276,0,19,19,19
1277,0,19,19,19
1278,0,19,19,19
1279,0,5,5,20
1280,0,19,19,19
1281,0,24,13,13
1282,0,19,19,19
1283,0,19,19,19
1284,0,6,6,6
1285,0,19,19,19
1286,0,19,19,19
1287,0,24,7,24
1288,0,22,3,22
1289,0,3,3,3
1290,0,19,19,19
1291,0,14,14,14
1292,0,19,19,19
1293,0,19,19,19
1294,0,3,3,6
1295,0,19,19,19
1296,0,8,8,8
1297,0,21,21,21
1298,0,14,14,14
1299,0,19,19,19
1300,0,19,19,19
1301,0,19,19,19
1302,0,19,19,19
1303,0,19,19,19
1304,0,25,25,25
1305,0,3,22,3
1306,0,20,20,20
1307,0,19,19,19
1308,0,19,19,19
1309,0,19,19,19
1310,0,13,13,13
1311,0,19,5,5
1312,0,19,6,6
1313,0,25,25,25
1314,0,19,19,19
1315,0,3,3,1
1316,0,19,19,19
1317,0,11,11,11
1318,0,11,11,11
1319,0,19,19,19
1320,0,19,19,19
1321,0,19,19,19
1322,0,22,22,22
1323,0,19,19,19
1324,0,24,24,24
1325,0,19,19,19
1326,0,19,6,6
1327,0,20,20,20
1328,0,19,19,26
1329,0,19,19,19
1330,0,20,20,20
1331,0,20,20,20
1332,0,26,26,26
1333,0,19,19,19
1334,0,18,18,18
1335,0,25,25,25
1336,0,19,19,19
1337,0,22,22,22
1338,0,26,26,26
1339,0,19,19,19
1340,0,19,19,19
1341,0,19,19,19
1342,0,19,19,19
1343,0,22,22,22
1344,0,19,19,19
1345,0,18,3,22
1346,0,19,19,19
1347,0,18,6,6
1348,0,19,19,19
1349,0,19,19,19
1350,0,15,15,15
1351,0,26,26,26
1352,0,16,16,16
1353,0,16,16,16
1354,0,25,3,25
1355,0,11,11,11
1356,0,19,19,19
1357,0,19,19,19
1358,0,19,19,19
1359,0,20,20,20
